city,state,station,latitude,longitude,timestamp,pm25,pm10,co,no2,so2,o3,aqi,aqi_category,dominant_pollutant,risk_level,temperature,humidity,wind_speed,wind_direction,pressure,rainfall,weather,status
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,2026-08-25 14:18:43,145.6,273.0,1.61,78.9,33.0,32.8,320,Very Poor,PM25,Very High,28.5,74.9,8.6,7,1015.7,1.2,Partly Cloudy,RECENT
New Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.6145,77.2088,2026-08-25 14:18:43,221.7,310.5,2.79,94.5,33.5,25.4,378,Very Poor,PM25,Very High,28.2,67.1,6.9,350,1007.6,12.0,Sunny,RECENT
Noida,Uttar Pradesh,"Sector 62, Noida - UPPCB",28.5355,77.391,2026-08-25 14:18:43,201.0,301.5,1.32,65.9,32.8,55.4,362,Very Poor,PM25,Very High,29.4,56.5,11.6,202,1009.2,0.0,Sunny,RECENT
Ghaziabad,Uttar Pradesh,"Vasundhara, Ghaziabad - UPPCB",28.6692,77.4538,2026-08-25 14:18:43,108.2,188.5,2.49,61.4,18.7,26.7,260,Poor,PM25,High,35.3,61.0,9.1,153,1007.3,1.2,Mist,RECENT
Gurugram,Haryana,"Vikas Sadan, Gurugram - HSPCB",28.4595,77.0266,2026-08-25 14:18:43,120.0,226.1,3.53,81.5,43.2,54.9,300,Poor,PM25,High,35.4,57.0,5.2,346,1014.3,4.5,Haze,RECENT
Faridabad,Haryana,"Sector 16A, Faridabad - HSPCB",28.4089,77.3178,2026-08-25 14:18:43,131.6,238.8,2.61,56.4,23.4,32.0,309,Very Poor,PM25,Very High,34.4,56.7,11.9,71,1005.1,0.0,Haze,RECENT
Mumbai,Maharashtra,"Bandra Kurla Complex, Mumbai - MPCB",19.076,72.8777,2026-08-25 14:18:43,71.9,119.0,2.28,60.6,27.8,46.0,138,Moderate,PM25,Moderate,32.5,82.0,10.5,22,1008.4,4.5,Partly Cloudy,RECENT
Navi Mumbai,Maharashtra,"Nerul, Navi Mumbai - MPCB",19.033,73.0297,2026-08-25 14:18:43,117.0,189.4,0.99,64.9,24.3,48.5,290,Poor,PM25,High,31.6,76.2,13.7,14,1012.8,0.0,Light Drizzle,RECENT
Thane,Maharashtra,"Naupada, Thane - MPCB",19.2183,72.9781,2026-08-25 14:18:43,57.2,77.4,1.3,26.4,28.5,40.3,95,Satisfactory,PM25,Low-Moderate,32.4,70.0,10.1,73,1015.4,0.0,Light Drizzle,RECENT
Pune,Maharashtra,"Shivajinagar, Pune - MPCB",18.5204,73.8567,2026-08-25 14:18:43,114.1,198.5,0.97,53.1,19.7,38.3,280,Poor,PM25,High,28.3,73.3,14.8,290,1014.9,12.0,Cloudy,RECENT
Nagpur,Maharashtra,"Civil Lines, Nagpur - MPCB",21.1458,79.0882,2026-08-25 14:18:43,64.4,91.0,2.18,44.2,33.3,20.3,113,Moderate,PM25,Moderate,30.1,73.3,8.2,96,1007.7,0.0,Light Drizzle,RECENT
Nashik,Maharashtra,"Gangapur Road, Nashik - MPCB",19.9975,73.7898,2026-08-25 14:18:43,82.5,128.6,2.35,56.6,21.5,58.5,174,Moderate,PM25,Moderate,28.5,74.9,9.0,359,1007.9,0.0,Partly Cloudy,RECENT
Bengaluru,Karnataka,"BTM Layout, Bengaluru - KSPCB",12.9716,77.5946,2026-08-25 14:18:43,65.2,86.1,0.89,29.8,26.2,25.1,115,Moderate,PM25,Moderate,29.9,79.7,10.4,274,1007.6,12.0,Passing Showers,RECENT
Mysuru,Karnataka,"Hebbal, Mysuru - KSPCB",12.2958,76.6394,2026-08-25 14:18:43,57.1,88.6,0.71,42.2,18.7,49.2,95,Satisfactory,PM25,Low-Moderate,28.6,63.7,8.4,79,1012.8,0.0,Passing Showers,RECENT
Mangaluru,Karnataka,"Kadri, Mangaluru - KSPCB",12.9141,74.856,2026-08-25 14:18:43,55.9,74.8,1.22,52.9,16.0,49.3,93,Satisfactory,PM25,Low-Moderate,31.4,74.7,10.1,315,1007.8,1.2,Passing Showers,RECENT
Hubballi,Karnataka,"Deshpande Nagar, Hubballi - KSPCB",15.3647,75.124,2026-08-25 14:18:43,45.5,77.0,1.8,38.1,13.2,53.8,89,Satisfactory,CO,Low-Moderate,30.5,77.7,9.9,125,1013.0,0.0,Partly Cloudy,RECENT
Hyderabad,Telangana,"Sanathnagar, Hyderabad - TSPCB",17.385,78.4867,2026-08-25 14:18:43,86.4,126.3,1.72,51.1,25.0,47.5,188,Moderate,PM25,Moderate,31.4,71.6,11.7,238,1005.1,12.0,Partly Cloudy,RECENT
