timestamp,city,state,station,latitude,longitude,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,wind_direction,pressure,rainfall,aqi,aqi_category,dominant_pollutant
2026-06-26 14:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,101.71,164.47,49.6,10.2,1.49,53.8,34.53,46.82,7.94,302,1009.2,0.0,238,Poor,PM25
2026-06-26 15:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,97.21,160.55,64.12,28.73,1.71,56.9,32.59,57.78,9.95,10,1010.8,0.0,222,Poor,PM25
2026-06-26 16:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,93.19,154.88,79.53,15.66,1.39,45.17,33.39,54.59,9.77,84,1013.4,0.0,208,Poor,PM25
2026-06-26 17:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,89.76,139.05,50.76,19.15,0.75,36.74,33.84,52.75,9.09,213,1012.1,0.0,199,Moderate,PM25
2026-06-26 18:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,84.77,129.27,43.94,31.17,0.62,29.71,29.59,52.47,12.82,85,1009.6,0.0,182,Moderate,PM25
2026-06-26 19:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,77.56,122.51,75.16,11.94,2.09,18.88,28.01,58.61,8.09,217,1010.5,0.0,202,Poor,CO
2026-06-26 20:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,74.32,117.31,86.85,23.07,2.29,-4.72,28.53,64.82,10.91,64,1008.6,0.0,146,Moderate,PM25
2026-06-26 21:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,72.59,113.17,48.79,26.52,0.64,-5.24,26.16,75.2,9.93,91,1011.7,0.0,141,Moderate,PM25
2026-06-26 22:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,67.72,98.4,28.61,33.38,2.21,-14.23,23.07,83.27,7.28,56,1009.6,0.0,124,Moderate,PM25
2026-06-26 23:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,65.86,117.99,42.46,8.47,1.14,0.77,19.17,88.62,8.3,40,1013.6,0.0,118,Moderate,PM25
2026-06-27 00:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,64.21,111.13,60.02,23.58,1.37,18.98,19.55,87.84,7.9,311,1015.0,0.0,112,Moderate,PM25
2026-06-27 01:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,62.0,89.5,59.03,28.66,2.64,25.95,17.31,98.0,4.88,135,1010.1,0.0,108,Moderate,CO
2026-06-27 02:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,62.09,102.07,53.81,18.27,1.81,29.91,15.08,92.69,7.15,5,1012.1,0.0,105,Moderate,PM25
2026-06-27 03:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,62.75,100.41,52.54,33.69,2.46,37.86,18.05,98.0,1.9,88,1011.3,0.0,107,Moderate,PM25
2026-06-27 04:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,64.16,108.19,51.27,30.2,1.55,37.42,17.76,95.59,5.33,70,1011.4,0.0,112,Moderate,PM25
2026-06-27 05:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,64.3,103.47,60.21,33.1,1.77,29.52,16.41,97.41,1.92,143,1014.8,0.0,112,Moderate,PM25
